,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Tap In,Saweetie,29830029.0,ICY/Artistry Records/Warner Records,2020-06-17 00:00:00+00:00,1,900000,2020-08-08 00:00:00+00:00,0.0,1,1,2020-07-30 00:00:00+00:00,34,1,1100000,2020-08-01 00:00:00+00:00,1,900000,2020-08-08 00:00:00+00:00
1,How You Like That,BLACKPINK,29924495.0,YG Entertainment/Interscope Records,2020-06-26 00:00:00+00:00,2,700000,2020-08-08 00:00:00+00:00,0.285714285714286,4,1,2020-08-18 00:00:00+00:00,43,4,700000,2020-08-01 00:00:00+00:00,2,700000,2020-08-08 00:00:00+00:00
2,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,3,700000,2020-08-08 00:00:00+00:00,0.285714285714286,3,3,2020-08-05 00:00:00+00:00,115,5,700000,2020-08-01 00:00:00+00:00,3,700000,2020-08-08 00:00:00+00:00
3,Rags2Riches (feat. ATR Son Son),Rod Wave,28915328.0,Alamo Records,2020-04-03 00:00:00+00:00,4,600000,2020-08-08 00:00:00+00:00,-0.285714285714286,2,1,2020-07-21 00:00:00+00:00,61,2,900000,2020-08-01 00:00:00+00:00,4,600000,2020-08-08 00:00:00+00:00
4,Wet (She Got That…) [Slowed & Reverbed],YFN Lucci,28501289.0,"Think It's A Game Entertainment, LLC",2020-02-14 00:00:00+00:00,5,500000,2020-08-08 00:00:00+00:00,0.142857142857143,9,4,2020-07-31 00:00:00+00:00,35,6,700000,2020-08-01 00:00:00+00:00,5,500000,2020-08-08 00:00:00+00:00
5,"Agua (Music from ""Sponge on the Run"" Movie)",Tainy & J Balvin,30056169.0,Tainy / Interscope PS,2020-07-09 00:00:00+00:00,6,500000,2020-08-08 00:00:00+00:00,0.142857142857143,5,3,2020-08-13 00:00:00+00:00,30,7,670100,2020-08-01 00:00:00+00:00,6,500000,2020-08-08 00:00:00+00:00
6,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,7,500000,2020-08-08 00:00:00+00:00,-0.571428571428571,6,1,2020-06-02 00:00:00+00:00,122,3,800000,2020-08-01 00:00:00+00:00,7,500000,2020-08-08 00:00:00+00:00
7,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,8,500000,2020-08-08 00:00:00+00:00,0.0,8,1,2020-07-03 00:00:00+00:00,86,8,600000,2020-08-01 00:00:00+00:00,8,500000,2020-08-08 00:00:00+00:00
8,Hatchback,Cochise,26059560.0,Repost Network,2019-09-23 00:00:00+00:00,9,500000,2020-08-08 00:00:00+00:00,1.0,12,7,2020-08-11 00:00:00+00:00,59,16,408800,2020-08-01 00:00:00+00:00,9,500000,2020-08-08 00:00:00+00:00
9,Lollipop,Gafur & JONY,,,,10,478300,2020-08-08 00:00:00+00:00,,10,3,2020-08-15 00:00:00+00:00,15,23,341200,2020-08-04 00:00:00+00:00,10,478300,2020-08-08 00:00:00+00:00
10,FENDI,RAKHIM,30222410.0,SilentTrap,2020-07-17 00:00:00+00:00,11,412700,2020-08-08 00:00:00+00:00,0.857142857142857,11,5,2020-08-14 00:00:00+00:00,24,17,400500,2020-08-01 00:00:00+00:00,11,412700,2020-08-08 00:00:00+00:00
11,Backyard Boy,Claire Rosinkranz,29783965.0,2118550 Records DK2,2020-06-08 00:00:00+00:00,12,407200,2020-08-08 00:00:00+00:00,2.0,17,3,2020-08-14 00:00:00+00:00,28,26,307500,2020-08-01 00:00:00+00:00,12,407200,2020-08-08 00:00:00+00:00
12,The Boat Beat,Ricky Desktop,29602162.0,Affiliate Records,2020-05-12 00:00:00+00:00,13,400000,2020-08-08 00:00:00+00:00,0.0,7,6,2020-07-21 00:00:00+00:00,65,13,500000,2020-08-01 00:00:00+00:00,13,400000,2020-08-08 00:00:00+00:00
13,Better,Valentino Khan & Wuki,24686070.0,Mad Decent,2019-07-26 00:00:00+00:00,14,400000,2020-08-08 00:00:00+00:00,1.0,19,10,2020-07-31 00:00:00+00:00,39,21,400000,2020-08-01 00:00:00+00:00,14,400000,2020-08-08 00:00:00+00:00
14,Muffins In The Freezer,Tiagz,29989564.0,Epic,2020-07-03 00:00:00+00:00,15,400000,2020-08-08 00:00:00+00:00,1.0,20,11,2020-07-31 00:00:00+00:00,26,22,400000,2020-08-01 00:00:00+00:00,15,400000,2020-08-08 00:00:00+00:00
15,Tattoo - Remix with Camilo,Rauw Alejandro & Camilo,28466568.0,"(SME US Latin) Duars Entertainment, Corp. (2)",2020-02-13 00:00:00+00:00,16,400000,2020-08-08 00:00:00+00:00,-0.142857142857143,13,12,2020-08-14 00:00:00+00:00,31,15,421700,2020-08-01 00:00:00+00:00,16,400000,2020-08-08 00:00:00+00:00
16,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,29751924.0,Columbia,2020-06-11 00:00:00+00:00,17,400000,2020-08-08 00:00:00+00:00,1.85714285714286,24,15,2020-08-02 00:00:00+00:00,75,30,300000,2020-08-01 00:00:00+00:00,17,400000,2020-08-08 00:00:00+00:00
17,TKN,ROSALÍA & Travis Scott,29592223.0,Columbia,2020-05-28 00:00:00+00:00,18,400000,2020-08-08 00:00:00+00:00,-1.28571428571429,15,9,2020-08-14 00:00:00+00:00,57,9,500000,2020-08-01 00:00:00+00:00,18,400000,2020-08-08 00:00:00+00:00
18,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,19,400000,2020-08-08 00:00:00+00:00,-0.714285714285714,16,1,2020-05-18 00:00:00+00:00,103,14,500000,2020-08-01 00:00:00+00:00,19,400000,2020-08-08 00:00:00+00:00
19,"Ay, DiOs Mío!",KAROL G,30064736.0,UMLE - Latino,2020-07-10 00:00:00+00:00,20,373200,2020-08-08 00:00:00+00:00,3.28571428571429,18,8,2020-08-14 00:00:00+00:00,31,43,192300,2020-08-01 00:00:00+00:00,20,373200,2020-08-08 00:00:00+00:00
20,The Chicken Wing Beat,Ricky Desktop,29891961.0,Affiliate Records,2020-06-13 00:00:00+00:00,21,310000,2020-08-08 00:00:00+00:00,1.71428571428571,27,9,2020-08-17 00:00:00+00:00,20,33,241500,2020-08-01 00:00:00+00:00,21,310000,2020-08-08 00:00:00+00:00
21,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,22,300000,2020-08-08 00:00:00+00:00,1.28571428571429,44,8,2020-07-03 00:00:00+00:00,81,31,300000,2020-08-01 00:00:00+00:00,22,300000,2020-08-08 00:00:00+00:00
22,Coño,Jason Derulo & Puri & Jhorrmountain,,,,23,300000,2020-08-08 00:00:00+00:00,0.0,23,9,2020-07-20 00:00:00+00:00,30,23,400000,2020-08-01 00:00:00+00:00,23,300000,2020-08-08 00:00:00+00:00
23,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,24,300000,2020-08-08 00:00:00+00:00,-2.0,14,1,2020-06-10 00:00:00+00:00,87,10,500000,2020-08-01 00:00:00+00:00,24,300000,2020-08-08 00:00:00+00:00
