,id,code2s,code2,release date,rank,added_at,pre_rank,peak_rank,peak_date
89,342782759,US,LU,2019-10-09 00:00:00+00:00,17,2020-06-11 00:00:00+00:00,11.0,11,2020-06-09 00:00:00+00:00
90,343497422,US,LU,2019-10-09 00:00:00+00:00,191,2020-06-12 00:00:00+00:00,6.0,2,2020-06-04 00:00:00+00:00
91,348018970,US,DO,2019-10-09 00:00:00+00:00,2,2020-06-25 00:00:00+00:00,,2,2020-06-25 00:00:00+00:00
92,359540913,US,DO,2019-10-09 00:00:00+00:00,108,2020-07-25 00:00:00+00:00,95.0,1,2020-06-25 00:00:00+00:00
93,355164050,US,SV,2019-10-09 00:00:00+00:00,186,2020-07-13 00:00:00+00:00,157.0,39,2020-07-05 00:00:00+00:00
94,355173779,US,LT,2019-10-09 00:00:00+00:00,195,2020-07-13 00:00:00+00:00,162.0,1,2020-04-17 00:00:00+00:00
95,352075919,US,LT,2019-10-09 00:00:00+00:00,150,2020-07-05 00:00:00+00:00,182.0,1,2020-04-17 00:00:00+00:00
96,347221730,US,CR,2019-10-09 00:00:00+00:00,184,2020-06-22 00:00:00+00:00,160.0,1,2020-04-30 00:00:00+00:00
97,326928287,US,CR,2019-10-09 00:00:00+00:00,9,2020-04-30 00:00:00+00:00,,9,2020-04-30 00:00:00+00:00
98,325671718,US,KE,2019-10-09 00:00:00+00:00,143,2020-04-26 00:00:00+00:00,17.0,17,2020-04-18 00:00:00+00:00
99,353262995,US,KE,2019-10-09 00:00:00+00:00,173,2020-07-08 00:00:00+00:00,154.0,3,2020-04-18 00:00:00+00:00
100,337469561,US,PA,2019-10-09 00:00:00+00:00,2,2020-05-28 00:00:00+00:00,12.0,2,2020-05-28 00:00:00+00:00
101,358582523,US,PA,2019-10-09 00:00:00+00:00,198,2020-07-22 00:00:00+00:00,176.0,1,2020-04-02 00:00:00+00:00
102,325712444,US,PY,2019-10-09 00:00:00+00:00,179,2020-04-26 00:00:00+00:00,7.0,7,2020-04-25 00:00:00+00:00
