,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Tap In,Saweetie,29830029.0,ICY/Artistry Records/Warner Records,2020-06-17 00:00:00+00:00,1,1000000,2020-08-15 00:00:00+00:00,0.0,1.0,1,2020-07-30 00:00:00+00:00,34,1,900000,2020-08-08 00:00:00+00:00,1,1000000,2020-08-15 00:00:00+00:00
1,How You Like That,BLACKPINK,29924495.0,YG Entertainment/Interscope Records,2020-06-26 00:00:00+00:00,2,900000,2020-08-15 00:00:00+00:00,0.0,2.0,1,2020-08-18 00:00:00+00:00,43,2,700000,2020-08-08 00:00:00+00:00,2,900000,2020-08-15 00:00:00+00:00
2,Lollipop,Gafur & JONY,,,,3,547800,2020-08-15 00:00:00+00:00,1.0,4.0,3,2020-08-15 00:00:00+00:00,15,10,478300,2020-08-08 00:00:00+00:00,3,547800,2020-08-15 00:00:00+00:00
3,Mood Swings,Pop Smoke,29991728.0,Victor Victor Worldwide,2020-07-03 00:00:00+00:00,4,516500,2020-08-15 00:00:00+00:00,,,3,2020-08-17 00:00:00+00:00,4,4,516500,2020-08-15 00:00:00+00:00,4,516500,2020-08-15 00:00:00+00:00
4,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,5,500000,2020-08-15 00:00:00+00:00,0.285714285714286,7.0,1,2020-06-02 00:00:00+00:00,122,7,500000,2020-08-08 00:00:00+00:00,5,500000,2020-08-15 00:00:00+00:00
5,Wet (She Got That…) [Slowed & Reverbed],YFN Lucci,28501289.0,"Think It's A Game Entertainment, LLC",2020-02-14 00:00:00+00:00,6,500000,2020-08-15 00:00:00+00:00,-0.142857142857143,6.0,4,2020-07-31 00:00:00+00:00,35,5,500000,2020-08-08 00:00:00+00:00,6,500000,2020-08-15 00:00:00+00:00
6,FENDI,RAKHIM,30222410.0,SilentTrap,2020-07-17 00:00:00+00:00,7,500000,2020-08-15 00:00:00+00:00,0.571428571428571,5.0,5,2020-08-14 00:00:00+00:00,24,11,412700,2020-08-08 00:00:00+00:00,7,500000,2020-08-15 00:00:00+00:00
7,"Agua (Music from ""Sponge on the Run"" Movie)",Tainy & J Balvin,30056169.0,Tainy / Interscope PS,2020-07-09 00:00:00+00:00,8,500000,2020-08-15 00:00:00+00:00,-0.285714285714286,10.0,3,2020-08-13 00:00:00+00:00,30,6,500000,2020-08-08 00:00:00+00:00,8,500000,2020-08-15 00:00:00+00:00
8,Rags2Riches (feat. ATR Son Son),Rod Wave,28915328.0,Alamo Records,2020-04-03 00:00:00+00:00,9,500000,2020-08-15 00:00:00+00:00,-0.714285714285714,15.0,1,2020-07-21 00:00:00+00:00,61,4,600000,2020-08-08 00:00:00+00:00,9,500000,2020-08-15 00:00:00+00:00
9,Backyard Boy,Claire Rosinkranz,29783965.0,2118550 Records DK2,2020-06-08 00:00:00+00:00,10,463500,2020-08-15 00:00:00+00:00,0.285714285714286,3.0,3,2020-08-14 00:00:00+00:00,28,12,407200,2020-08-08 00:00:00+00:00,10,463500,2020-08-15 00:00:00+00:00
