,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,1,3200000,2020-06-20 00:00:00+00:00,0.0,1.0,1,2020-06-10 00:00:00+00:00,75,1,4859851,2020-06-13 00:00:00+00:00,1,3200000,2020-06-20 00:00:00+00:00
1,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,2,2400000,2020-06-20 00:00:00+00:00,0.0,2.0,1,2020-06-02 00:00:00+00:00,110,2,3052740,2020-06-13 00:00:00+00:00,2,2400000,2020-06-20 00:00:00+00:00
2,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,3,2000000,2020-06-20 00:00:00+00:00,0.0,3.0,1,2020-05-18 00:00:00+00:00,91,3,2261826,2020-06-13 00:00:00+00:00,3,2000000,2020-06-20 00:00:00+00:00
3,Kolors,Monte Booker & Smino,13755632.0,Soulection,2016-06-29 00:00:00+00:00,4,1900000,2020-06-20 00:00:00+00:00,0.571428571428571,4.0,1,2020-07-06 00:00:00+00:00,51,8,1071598,2020-06-13 00:00:00+00:00,4,1900000,2020-06-20 00:00:00+00:00
4,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,5,1800000,2020-06-20 00:00:00+00:00,0.142857142857143,6.0,1,2020-07-03 00:00:00+00:00,74,6,1351728,2020-06-13 00:00:00+00:00,5,1800000,2020-06-20 00:00:00+00:00
5,kream bebiisan edition,bebiisan,,,,6,1700000,2020-06-20 00:00:00+00:00,-0.142857142857143,5.0,4,2020-06-10 00:00:00+00:00,60,5,1996824,2020-06-13 00:00:00+00:00,6,1700000,2020-06-20 00:00:00+00:00
6,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,7,1500000,2020-06-20 00:00:00+00:00,0.0,7.0,5,2020-05-25 00:00:00+00:00,73,7,1239397,2020-06-13 00:00:00+00:00,7,1500000,2020-06-20 00:00:00+00:00
7,HAHA,lil darkie,26235905.0,Repost Network,2019-10-12 00:00:00+00:00,8,1369600,2020-06-20 00:00:00+00:00,,8.0,5,2020-06-28 00:00:00+00:00,50,9,998200,2020-06-16 00:00:00+00:00,8,1369600,2020-06-20 00:00:00+00:00
8,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,9,900000,2020-06-20 00:00:00+00:00,0.0,9.0,1,2020-05-11 00:00:00+00:00,125,9,940784,2020-06-13 00:00:00+00:00,9,900000,2020-06-20 00:00:00+00:00
9,The Boat Beat,Ricky Desktop,29602162.0,Affiliate Records,2020-05-12 00:00:00+00:00,10,800000,2020-06-20 00:00:00+00:00,0.428571428571429,11.0,6,2020-07-21 00:00:00+00:00,53,13,656713,2020-06-13 00:00:00+00:00,10,800000,2020-06-20 00:00:00+00:00
