,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,1,4444820,2020-05-23 00:00:00+00:00,,1.0,1,2020-06-10 00:00:00+00:00,75,1,4670925,2020-05-22 00:00:00+00:00,1,4444820,2020-05-23 00:00:00+00:00
1,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,2,3384687,2020-05-23 00:00:00+00:00,-0.142857142857143,2.0,1,2020-05-18 00:00:00+00:00,91,1,4437072,2020-05-16 00:00:00+00:00,2,3384687,2020-05-23 00:00:00+00:00
2,Cari Mama Muda,Iqballl🍁,,,,3,1952785,2020-05-23 00:00:00+00:00,-0.142857142857143,4.0,1,2020-05-12 00:00:00+00:00,82,2,2503123,2020-05-16 00:00:00+00:00,3,1952785,2020-05-23 00:00:00+00:00
3,Elsa's Wildest Dreams,tiktok_australia,,,,4,1945865,2020-05-23 00:00:00+00:00,,3.0,2,2020-05-21 00:00:00+00:00,5,2,2233617,2020-05-21 00:00:00+00:00,4,1945865,2020-05-23 00:00:00+00:00
4,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,5,1314492,2020-05-23 00:00:00+00:00,-0.285714285714286,5.0,1,2020-05-11 00:00:00+00:00,125,3,1534414,2020-05-16 00:00:00+00:00,5,1314492,2020-05-23 00:00:00+00:00
5,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,6,936846,2020-05-23 00:00:00+00:00,,,1,2020-07-03 00:00:00+00:00,74,6,936846,2020-05-23 00:00:00+00:00,6,936846,2020-05-23 00:00:00+00:00
6,Sweet and Salty,goalsounds,,,,7,819535,2020-05-23 00:00:00+00:00,-0.142857142857143,6.0,5,2020-05-20 00:00:00+00:00,50,6,739178,2020-05-16 00:00:00+00:00,7,819535,2020-05-23 00:00:00+00:00
7,Crystal Dolphin (KyleYouMadeThat Remix),Engelwood,17918694.0,Engelwood,2017-12-06 00:00:00+00:00,8,537303,2020-05-23 00:00:00+00:00,,10.0,7,2020-05-21 00:00:00+00:00,44,8,647539,2020-05-20 00:00:00+00:00,8,537303,2020-05-23 00:00:00+00:00
8,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,9,462096,2020-05-23 00:00:00+00:00,-0.285714285714286,11.0,1,2020-05-09 00:00:00+00:00,88,7,702980,2020-05-16 00:00:00+00:00,9,462096,2020-05-23 00:00:00+00:00
9,say you remember me,flighthouse,20839577.0,DNZ Records,2016-03-22 00:00:00+00:00,10,452899,2020-05-23 00:00:00+00:00,28.4285714285714,12.0,10,2020-05-23 00:00:00+00:00,32,209,69789,2020-05-16 00:00:00+00:00,10,452899,2020-05-23 00:00:00+00:00
10,nursery,bbno$,22461520.0,no records,2019-01-25 00:00:00+00:00,11,423657,2020-05-23 00:00:00+00:00,9.85714285714286,14.0,11,2020-05-23 00:00:00+00:00,58,80,151996,2020-05-16 00:00:00+00:00,11,423657,2020-05-23 00:00:00+00:00
11,Let's Do It Again,J Boog,15953367.0,Washhouse Hawaii,2011-09-27 00:00:00+00:00,12,362270,2020-05-23 00:00:00+00:00,0.0,15.0,3,2020-05-10 00:00:00+00:00,74,12,493573,2020-05-16 00:00:00+00:00,12,362270,2020-05-23 00:00:00+00:00
12,Personal,HRVY,17799080.0,"UMG Recordings, Inc.",2018-01-19 00:00:00+00:00,13,357611,2020-05-23 00:00:00+00:00,0.0,13.0,7,2020-05-11 00:00:00+00:00,94,13,455292,2020-05-16 00:00:00+00:00,13,357611,2020-05-23 00:00:00+00:00
13,Karin dan Dewi (remix),TramAnh🙆‍♀️❌,,,,14,341625,2020-05-23 00:00:00+00:00,18.0,18.0,8,2020-06-02 00:00:00+00:00,152,140,100128,2020-05-16 00:00:00+00:00,14,341625,2020-05-23 00:00:00+00:00
14,Toosie Slide,Drake,28904803.0,OVO,2020-04-03 00:00:00+00:00,15,304340,2020-05-23 00:00:00+00:00,0.428571428571429,16.0,4,2020-05-05 00:00:00+00:00,106,18,384867,2020-05-16 00:00:00+00:00,15,304340,2020-05-23 00:00:00+00:00
15,MUA！,biancajramirez123,,,,16,297930,2020-05-23 00:00:00+00:00,0.571428571428571,23.0,13,2020-05-13 00:00:00+00:00,123,20,351413,2020-05-16 00:00:00+00:00,16,297930,2020-05-23 00:00:00+00:00
16,Woah,KRYPTO9095,22809467.0,KSG Records,2019-03-29 00:00:00+00:00,17,297879,2020-05-23 00:00:00+00:00,0.857142857142857,17.0,16,2020-05-12 00:00:00+00:00,126,23,338324,2020-05-16 00:00:00+00:00,17,297879,2020-05-23 00:00:00+00:00
17,Lose Control,Meduza & Becky Hill & Goodboys,25866511.0,Virgin,2019-10-11 00:00:00+00:00,18,272033,2020-05-23 00:00:00+00:00,0.857142857142857,22.0,5,2020-04-16 00:00:00+00:00,133,24,335407,2020-05-16 00:00:00+00:00,18,272033,2020-05-23 00:00:00+00:00
18,2002 (Remix),Jayrous Morales,19411575.0,Shaun Reynolds,2018-05-11 00:00:00+00:00,19,267664,2020-05-23 00:00:00+00:00,1.0,19.0,7,2020-04-01 00:00:00+00:00,128,26,287976,2020-05-16 00:00:00+00:00,19,267664,2020-05-23 00:00:00+00:00
19,TransitionChallenge,xforgotten_audiosx,,,,20,267084,2020-05-23 00:00:00+00:00,17.5714285714286,26.0,20,2020-05-23 00:00:00+00:00,97,143,99803,2020-05-16 00:00:00+00:00,20,267084,2020-05-23 00:00:00+00:00
20,Play Date,Melanie Martinez,15090401.0,Atlantic Records,2015-08-14 00:00:00+00:00,21,260515,2020-05-23 00:00:00+00:00,,25.0,12,2020-06-02 00:00:00+00:00,80,26,305875,2020-05-17 00:00:00+00:00,21,260515,2020-05-23 00:00:00+00:00
21,I'm Just a Kid,Simple Plan,15073090.0,Rhino Atlantic,2018-04-06 00:00:00+00:00,22,250284,2020-05-23 00:00:00+00:00,-0.142857142857143,27.0,7,2020-04-29 00:00:00+00:00,135,21,349043,2020-05-16 00:00:00+00:00,22,250284,2020-05-23 00:00:00+00:00
22,Bagaikan Langit（cover）,_ucil👑,,,,23,248898,2020-05-23 00:00:00+00:00,-1.0,20.0,1,2020-02-12 00:00:00+00:00,118,16,393812,2020-05-16 00:00:00+00:00,23,248898,2020-05-23 00:00:00+00:00
23,Soap,Melanie_Martinez,15090187.0,Atlantic Records,2015-08-14 00:00:00+00:00,24,243767,2020-05-23 00:00:00+00:00,11.1428571428571,30.0,4,2020-06-13 00:00:00+00:00,21,102,127324,2020-05-16 00:00:00+00:00,24,243767,2020-05-23 00:00:00+00:00
24,LEAD THE RACE (UNDEFEATED),Comethazine,28855830.0,Alamo Records,2020-03-27 00:00:00+00:00,25,235308,2020-05-23 00:00:00+00:00,,29.0,25,2020-05-23 00:00:00+00:00,62,29,259040,2020-05-22 00:00:00+00:00,25,235308,2020-05-23 00:00:00+00:00
25,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,26,229198,2020-05-23 00:00:00+00:00,10.0,60.0,3,2020-08-05 00:00:00+00:00,103,96,133856,2020-05-16 00:00:00+00:00,26,229198,2020-05-23 00:00:00+00:00
26,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,27,216245,2020-05-23 00:00:00+00:00,62.8571428571429,91.0,1,2020-06-02 00:00:00+00:00,110,467,25976,2020-05-16 00:00:00+00:00,27,216245,2020-05-23 00:00:00+00:00
27,Sexy,JoeVille,28804366.0,Clrd Candles Productions,2020-02-05 00:00:00+00:00,28,216057,2020-05-23 00:00:00+00:00,,36.0,28,2020-05-23 00:00:00+00:00,54,36,208520,2020-05-22 00:00:00+00:00,28,216057,2020-05-23 00:00:00+00:00
28,Я дома,Даня Милохин,29186662.0,Wildjam Music,2020-04-24 00:00:00+00:00,29,209169,2020-05-23 00:00:00+00:00,4.14285714285714,33.0,24,2020-06-02 00:00:00+00:00,53,58,179492,2020-05-16 00:00:00+00:00,29,209169,2020-05-23 00:00:00+00:00
29,Moto,Diler Kharkiya,28227735.0,Dil Music,2020-01-06 00:00:00+00:00,30,205809,2020-05-23 00:00:00+00:00,11.4285714285714,32.0,19,2020-06-02 00:00:00+00:00,56,110,117972,2020-05-16 00:00:00+00:00,30,205809,2020-05-23 00:00:00+00:00
30,Roses - Imanbek Remix,SAINt JHN,28795304.0,b1,2020-03-20 00:00:00+00:00,31,193725,2020-05-23 00:00:00+00:00,7.28571428571429,76.0,31,2020-05-23 00:00:00+00:00,44,82,151508,2020-05-16 00:00:00+00:00,31,193725,2020-05-23 00:00:00+00:00
31,Kasih Slow,Nonna 3In1,,,,32,192546,2020-05-23 00:00:00+00:00,0.142857142857143,31.0,14,2020-06-02 00:00:00+00:00,93,33,252598,2020-05-16 00:00:00+00:00,32,192546,2020-05-23 00:00:00+00:00
32,Goa Beach,Tony Kakkar,28457120.0,Desi Music Factory,2020-02-11 00:00:00+00:00,33,188207,2020-05-23 00:00:00+00:00,0.142857142857143,34.0,5,2020-05-09 00:00:00+00:00,80,34,251875,2020-05-16 00:00:00+00:00,33,188207,2020-05-23 00:00:00+00:00
33,feeling,BCD Studio-LI,,,,34,187152,2020-05-23 00:00:00+00:00,1.85714285714286,43.0,14,2020-02-12 00:00:00+00:00,150,47,209534,2020-05-16 00:00:00+00:00,34,187152,2020-05-23 00:00:00+00:00
34,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,35,186792,2020-05-23 00:00:00+00:00,-2.28571428571429,38.0,17,2020-05-15 00:00:00+00:00,32,19,375234,2020-05-16 00:00:00+00:00,35,186792,2020-05-23 00:00:00+00:00
35,mua mua,Miya쌤,,,,36,185587,2020-05-23 00:00:00+00:00,0.142857142857143,37.0,3,2020-06-10 00:00:00+00:00,144,37,230442,2020-05-16 00:00:00+00:00,36,185587,2020-05-23 00:00:00+00:00
36,death bed (coffee for your head),Powfu & beabadoobee,28419993.0,Columbia,2020-02-08 00:00:00+00:00,37,183405,2020-05-23 00:00:00+00:00,1.28571428571429,44.0,16,2020-04-01 00:00:00+00:00,104,46,213692,2020-05-16 00:00:00+00:00,37,183405,2020-05-23 00:00:00+00:00
37,Someone you loved Remix,apeng,,,,38,181225,2020-05-23 00:00:00+00:00,,35.0,29,2020-05-21 00:00:00+00:00,49,36,242005,2020-05-18 00:00:00+00:00,38,181225,2020-05-23 00:00:00+00:00
38,Followww meee,rapidsongs,,,,39,180791,2020-05-23 00:00:00+00:00,-4.42857142857143,28.0,3,2020-05-11 00:00:00+00:00,20,8,666109,2020-05-16 00:00:00+00:00,39,180791,2020-05-23 00:00:00+00:00
39,Pew Pew Pew,Auntie Hammy,19937236.0,Hamshop Media,2018-06-01 00:00:00+00:00,40,180010,2020-05-23 00:00:00+00:00,-1.14285714285714,39.0,6,2020-04-13 00:00:00+00:00,85,32,253499,2020-05-16 00:00:00+00:00,40,180010,2020-05-23 00:00:00+00:00
40,Say So x Like That x Do It Again,goalsounds,,,,41,168590,2020-05-23 00:00:00+00:00,-2.0,41.0,14,2020-05-12 00:00:00+00:00,39,27,285165,2020-05-16 00:00:00+00:00,41,168590,2020-05-23 00:00:00+00:00
41,Snake,Lil Keed,24046736.0,300 Entertainment,2019-06-14 00:00:00+00:00,42,165746,2020-05-23 00:00:00+00:00,0.0,49.0,9,2020-05-04 00:00:00+00:00,88,42,225569,2020-05-16 00:00:00+00:00,42,165746,2020-05-23 00:00:00+00:00
42,Surrender,Natalie Taylor,14341447.0,Natalie Taylor,2015-10-29 00:00:00+00:00,43,163659,2020-05-23 00:00:00+00:00,-0.714285714285714,46.0,25,2020-06-10 00:00:00+00:00,121,38,228111,2020-05-16 00:00:00+00:00,43,163659,2020-05-23 00:00:00+00:00
43,Do It Again,Pia Mia,15934429.0,Wolfpack/Interscope,2015-05-04 00:00:00+00:00,44,161290,2020-05-23 00:00:00+00:00,-2.14285714285714,51.0,1,2020-04-25 00:00:00+00:00,60,29,278099,2020-05-16 00:00:00+00:00,44,161290,2020-05-23 00:00:00+00:00
44,Kalla Sohna Nai,Neha Kakkar,28796976.0,,,45,160423,2020-05-23 00:00:00+00:00,3.0,53.0,19,2020-06-07 00:00:00+00:00,64,66,170086,2020-05-16 00:00:00+00:00,45,160423,2020-05-23 00:00:00+00:00
45,Captain Hook,Megan Thee Stallion,28677613.0,300 Entertainment,2020-03-06 00:00:00+00:00,46,158323,2020-05-23 00:00:00+00:00,-2.28571428571429,48.0,5,2020-04-21 00:00:00+00:00,53,30,271039,2020-05-16 00:00:00+00:00,46,158323,2020-05-23 00:00:00+00:00
46,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,47,157907,2020-05-23 00:00:00+00:00,2.14285714285714,56.0,43,2020-05-14 00:00:00+00:00,60,62,173948,2020-05-16 00:00:00+00:00,47,157907,2020-05-23 00:00:00+00:00
47,Can We Kiss Forever?,Kina,20497349.0,Kinamood,2018-08-31 00:00:00+00:00,48,156782,2020-05-23 00:00:00+00:00,2.85714285714286,40.0,10,2020-03-06 00:00:00+00:00,77,68,169841,2020-05-16 00:00:00+00:00,48,156782,2020-05-23 00:00:00+00:00
48,Sajan Ke Ghar Jana Hain,"Alka Yagnik, Alka Yagnik, Richa Sharma, Richa Sharma, Sonu Nigam, Sonu Nigam",,,,49,155847,2020-05-23 00:00:00+00:00,,47.0,45,2020-05-21 00:00:00+00:00,45,45,190032,2020-05-21 00:00:00+00:00,49,155847,2020-05-23 00:00:00+00:00
49,Lpb Poody - Address It,bebesita.vina,29326561.0,Interscope Records,2020-05-05 00:00:00+00:00,50,154871,2020-05-23 00:00:00+00:00,,45.0,31,2020-05-17 00:00:00+00:00,36,31,262756,2020-05-17 00:00:00+00:00,50,154871,2020-05-23 00:00:00+00:00
50,Hareudang Panas,TetehAcaaa,29504443.0,Indiefy,2020-05-11 00:00:00+00:00,51,152318,2020-05-23 00:00:00+00:00,0.285714285714286,52.0,16,2020-05-04 00:00:00+00:00,68,53,197140,2020-05-16 00:00:00+00:00,51,152318,2020-05-23 00:00:00+00:00
51,Oops！,PauPau 🇵🇭,,,,52,148424,2020-05-23 00:00:00+00:00,-0.142857142857143,59.0,15,2020-05-04 00:00:00+00:00,84,51,202494,2020-05-16 00:00:00+00:00,52,148424,2020-05-23 00:00:00+00:00
