,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Kolors,Monte Booker & Smino,13755632.0,Soulection,2016-06-29 00:00:00+00:00,1,1800000,2020-07-04 00:00:00+00:00,0.142857142857143,1.0,1,2020-07-06 00:00:00+00:00,51,2,2100000,2020-06-27 00:00:00+00:00,1,1800000,2020-07-04 00:00:00+00:00
1,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,2,1700000,2020-07-04 00:00:00+00:00,-0.142857142857143,2.0,1,2020-06-02 00:00:00+00:00,110,1,2200000,2020-06-27 00:00:00+00:00,2,1700000,2020-07-04 00:00:00+00:00
2,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,3,1700000,2020-07-04 00:00:00+00:00,0.142857142857143,1.0,1,2020-07-03 00:00:00+00:00,74,4,1900000,2020-06-27 00:00:00+00:00,3,1700000,2020-07-04 00:00:00+00:00
3,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,4,1300000,2020-07-04 00:00:00+00:00,0.142857142857143,3.0,1,2020-05-18 00:00:00+00:00,91,5,1700000,2020-06-27 00:00:00+00:00,4,1300000,2020-07-04 00:00:00+00:00
4,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,5,1300000,2020-07-04 00:00:00+00:00,-0.285714285714286,4.0,1,2020-06-10 00:00:00+00:00,75,3,1900000,2020-06-27 00:00:00+00:00,5,1300000,2020-07-04 00:00:00+00:00
5,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,6,1100000,2020-07-04 00:00:00+00:00,0.285714285714286,5.0,5,2020-05-25 00:00:00+00:00,73,8,1200000,2020-06-27 00:00:00+00:00,6,1100000,2020-07-04 00:00:00+00:00
6,kream bebiisan edition,bebiisan,,,,7,1000000,2020-07-04 00:00:00+00:00,-0.142857142857143,6.0,4,2020-06-10 00:00:00+00:00,60,6,1300000,2020-06-27 00:00:00+00:00,7,1000000,2020-07-04 00:00:00+00:00
7,HAHA,lil darkie,26235905.0,Repost Network,2019-10-12 00:00:00+00:00,8,1000000,2020-07-04 00:00:00+00:00,-0.142857142857143,7.0,5,2020-06-28 00:00:00+00:00,50,7,1300000,2020-06-27 00:00:00+00:00,8,1000000,2020-07-04 00:00:00+00:00
8,Hood Baby,Kbfr,29275689.0,For Real Ent.,2020-04-03 00:00:00+00:00,9,960800,2020-07-04 00:00:00+00:00,0.285714285714286,8.0,7,2020-07-06 00:00:00+00:00,46,11,764800,2020-06-27 00:00:00+00:00,9,960800,2020-07-04 00:00:00+00:00
9,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,10,900000,2020-07-04 00:00:00+00:00,0.0,10.0,3,2020-08-05 00:00:00+00:00,103,10,800000,2020-06-27 00:00:00+00:00,10,900000,2020-07-04 00:00:00+00:00
10,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,11,800000,2020-07-04 00:00:00+00:00,-0.285714285714286,8.0,8,2020-07-03 00:00:00+00:00,69,9,800000,2020-06-27 00:00:00+00:00,11,800000,2020-07-04 00:00:00+00:00
11,Then Leave,BeatKing,28861336.0,C3Entertainment/BeatKing Made This S--t,2020-03-27 00:00:00+00:00,12,750200,2020-07-04 00:00:00+00:00,0.142857142857143,9.0,9,2020-07-03 00:00:00+00:00,22,13,623600,2020-06-27 00:00:00+00:00,12,750200,2020-07-04 00:00:00+00:00
12,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,13,700000,2020-07-04 00:00:00+00:00,-0.142857142857143,11.0,1,2020-05-11 00:00:00+00:00,125,12,700000,2020-06-27 00:00:00+00:00,13,700000,2020-07-04 00:00:00+00:00
13,Relación,Sech,28884520.0,Rich Music,2020-04-02 00:00:00+00:00,14,600000,2020-07-04 00:00:00+00:00,0.142857142857143,12.0,12,2020-07-01 00:00:00+00:00,51,15,506800,2020-06-27 00:00:00+00:00,14,600000,2020-07-04 00:00:00+00:00
14,Go Go Go Who's Next?,Hip Hop Harry,29701276.0,Terah Records,2020-06-04 00:00:00+00:00,15,500000,2020-07-04 00:00:00+00:00,,16.0,15,2020-06-26 00:00:00+00:00,39,19,400000,2020-06-28 00:00:00+00:00,15,500000,2020-07-04 00:00:00+00:00
15,The Boat Beat,Ricky Desktop,29602162.0,Affiliate Records,2020-05-12 00:00:00+00:00,16,500000,2020-07-04 00:00:00+00:00,-0.285714285714286,13.0,6,2020-07-21 00:00:00+00:00,53,14,600000,2020-06-27 00:00:00+00:00,16,500000,2020-07-04 00:00:00+00:00
16,How You Like That,BLACKPINK,29924495.0,YG Entertainment/Interscope Records,2020-06-26 00:00:00+00:00,17,441000,2020-07-04 00:00:00+00:00,,17.0,3,2020-08-02 00:00:00+00:00,31,17,368600,2020-07-03 00:00:00+00:00,17,441000,2020-07-04 00:00:00+00:00
17,Be Happy,Dixie D’Amelio,29915506.0,DAM FAM Records,2020-06-26 00:00:00+00:00,18,422340,2020-07-04 00:00:00+00:00,,21.0,5,2020-07-14 00:00:00+00:00,33,21,296444,2020-07-03 00:00:00+00:00,18,422340,2020-07-04 00:00:00+00:00
18,Cari Mama Muda,Iqballl🍁,,,,19,400000,2020-07-04 00:00:00+00:00,-0.285714285714286,14.0,1,2020-05-12 00:00:00+00:00,82,17,500000,2020-06-27 00:00:00+00:00,19,400000,2020-07-04 00:00:00+00:00
19,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,29751924.0,Columbia,2020-06-11 00:00:00+00:00,20,400000,2020-07-04 00:00:00+00:00,0.714285714285714,20.0,15,2020-08-02 00:00:00+00:00,63,25,300000,2020-06-27 00:00:00+00:00,20,400000,2020-07-04 00:00:00+00:00
20,ЧЁРНЫЙ БУМЕР,DAVA & Серёга,,,,21,307200,2020-07-04 00:00:00+00:00,6.0,22.0,20,2020-07-06 00:00:00+00:00,40,63,106853,2020-06-27 00:00:00+00:00,21,307200,2020-07-04 00:00:00+00:00
21,Woah,KRYPTO9095,22809467.0,KSG Records,2019-03-29 00:00:00+00:00,22,300000,2020-07-04 00:00:00+00:00,3.28571428571429,19.0,16,2020-05-12 00:00:00+00:00,126,45,200000,2020-06-27 00:00:00+00:00,22,300000,2020-07-04 00:00:00+00:00
22,Spaz,Mr. 2-17 & DRIPPY PRODUCTIONS,,,,23,300000,2020-07-04 00:00:00+00:00,0.428571428571429,32.0,14,2020-06-13 00:00:00+00:00,41,26,300000,2020-06-27 00:00:00+00:00,23,300000,2020-07-04 00:00:00+00:00
23,Pitbull - Hotel Room Service,qt.ducks,,,,24,300000,2020-07-04 00:00:00+00:00,-1.14285714285714,15.0,13,2020-06-20 00:00:00+00:00,83,16,500000,2020-06-27 00:00:00+00:00,24,300000,2020-07-04 00:00:00+00:00
24,Say youll remember me Remix by TIAGZ,iamtiagz,,,,25,300000,2020-07-04 00:00:00+00:00,-0.857142857142857,34.0,5,2020-06-08 00:00:00+00:00,52,19,400000,2020-06-27 00:00:00+00:00,25,300000,2020-07-04 00:00:00+00:00
