,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,1,3411589,2020-06-06 00:00:00+00:00,0.0,2.0,1,2020-06-10 00:00:00+00:00,75,1,3629101,2020-05-30 00:00:00+00:00,1,3411589,2020-06-06 00:00:00+00:00
1,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,2,3090907,2020-06-06 00:00:00+00:00,0.142857142857143,1.0,1,2020-06-02 00:00:00+00:00,110,3,2484822,2020-05-30 00:00:00+00:00,2,3090907,2020-06-06 00:00:00+00:00
2,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,3,2857443,2020-06-06 00:00:00+00:00,-0.142857142857143,3.0,1,2020-05-18 00:00:00+00:00,91,2,2940043,2020-05-30 00:00:00+00:00,3,2857443,2020-06-06 00:00:00+00:00
3,kream bebiisan edition,bebiisan,,,,4,2550440,2020-06-06 00:00:00+00:00,,,4,2020-06-10 00:00:00+00:00,60,4,2550440,2020-06-06 00:00:00+00:00,4,2550440,2020-06-06 00:00:00+00:00
4,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,5,1340326,2020-06-06 00:00:00+00:00,0.142857142857143,4.0,1,2020-07-03 00:00:00+00:00,74,6,1265045,2020-05-30 00:00:00+00:00,5,1340326,2020-06-06 00:00:00+00:00
5,Say youll remember me Remix by TIAGZ,iamtiagz,,,,6,1326504,2020-06-06 00:00:00+00:00,,,5,2020-06-08 00:00:00+00:00,52,6,1326504,2020-06-06 00:00:00+00:00,6,1326504,2020-06-06 00:00:00+00:00
6,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,7,1322241,2020-06-06 00:00:00+00:00,0.0,5.0,5,2020-05-25 00:00:00+00:00,73,7,1254574,2020-05-30 00:00:00+00:00,7,1322241,2020-06-06 00:00:00+00:00
7,Cari Mama Muda,Iqballl🍁,,,,8,1242969,2020-06-06 00:00:00+00:00,-0.571428571428571,6.0,1,2020-05-12 00:00:00+00:00,82,4,1687018,2020-05-30 00:00:00+00:00,8,1242969,2020-06-06 00:00:00+00:00
8,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,9,1159277,2020-06-06 00:00:00+00:00,-0.571428571428571,7.0,1,2020-05-11 00:00:00+00:00,125,5,1281909,2020-05-30 00:00:00+00:00,9,1159277,2020-06-06 00:00:00+00:00
9,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,10,852706,2020-06-06 00:00:00+00:00,-0.142857142857143,8.0,3,2020-08-05 00:00:00+00:00,103,9,750454,2020-05-30 00:00:00+00:00,10,852706,2020-06-06 00:00:00+00:00
10,Wipe It Down,BMW KENNY,29345768.0,BMW,2020-04-27 00:00:00+00:00,11,695636,2020-06-06 00:00:00+00:00,-0.428571428571429,9.0,8,2020-05-27 00:00:00+00:00,70,8,809279,2020-05-30 00:00:00+00:00,11,695636,2020-06-06 00:00:00+00:00
11,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,12,628282,2020-06-06 00:00:00+00:00,-0.142857142857143,10.0,8,2020-07-03 00:00:00+00:00,69,11,553609,2020-05-30 00:00:00+00:00,12,628282,2020-06-06 00:00:00+00:00
12,Cars That Go Boom,L'Trimm,15375878.0,Perpetual,2015-11-20 00:00:00+00:00,13,523486,2020-06-06 00:00:00+00:00,,11.0,11,2020-06-05 00:00:00+00:00,39,12,521820,2020-06-03 00:00:00+00:00,13,523486,2020-06-06 00:00:00+00:00
13,Cyber Sex - Doja Cat,tyler_warwick,26950258.0,Kemosabe Records/RCA Records,2019-11-07 00:00:00+00:00,14,511187,2020-06-06 00:00:00+00:00,-0.571428571428571,12.0,9,2020-05-28 00:00:00+00:00,50,10,673343,2020-05-30 00:00:00+00:00,14,511187,2020-06-06 00:00:00+00:00
14,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,29751924.0,Columbia,2020-06-11 00:00:00+00:00,15,391405,2020-06-06 00:00:00+00:00,-0.285714285714286,14.0,9,2020-06-02 00:00:00+00:00,68,13,454711,2020-05-30 00:00:00+00:00,15,391405,2020-06-06 00:00:00+00:00
15,Karin dan Dewi (remix),TramAnh🙆‍♀️❌,,,,16,380807,2020-06-06 00:00:00+00:00,-0.571428571428571,13.0,8,2020-06-02 00:00:00+00:00,152,12,459097,2020-05-30 00:00:00+00:00,16,380807,2020-06-06 00:00:00+00:00
16,The Sharkboy Beat,Ricky Desktop,,,,17,337370,2020-06-06 00:00:00+00:00,-0.428571428571429,15.0,10,2020-05-24 00:00:00+00:00,55,14,434310,2020-05-30 00:00:00+00:00,17,337370,2020-06-06 00:00:00+00:00
17,Ice Me Out,Kash Doll,20439298.0,Republic Records,2018-08-24 00:00:00+00:00,18,326871,2020-06-06 00:00:00+00:00,,17.0,17,2020-06-04 00:00:00+00:00,35,17,344955,2020-06-03 00:00:00+00:00,18,326871,2020-06-06 00:00:00+00:00
18,Pooranviram,Akki Aryan,,,,19,315775,2020-06-06 00:00:00+00:00,7.0,18.0,13,2020-06-02 00:00:00+00:00,48,68,114023,2020-05-30 00:00:00+00:00,19,315775,2020-06-06 00:00:00+00:00
19,Flatbed Freestyle - Playboi Carti,m_3dits,19216551.0,AWGE Label,2018-05-11 00:00:00+00:00,20,313953,2020-06-06 00:00:00+00:00,,,16,2020-06-08 00:00:00+00:00,22,20,313953,2020-06-06 00:00:00+00:00,20,313953,2020-06-06 00:00:00+00:00
20,Toosie Slide,Drake,28904803.0,OVO,2020-04-03 00:00:00+00:00,21,308979,2020-06-06 00:00:00+00:00,-0.142857142857143,16.0,4,2020-05-05 00:00:00+00:00,106,20,310540,2020-05-30 00:00:00+00:00,21,308979,2020-06-06 00:00:00+00:00
21,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,29751924.0,Columbia,2020-06-11 00:00:00+00:00,22,308224,2020-06-06 00:00:00+00:00,,20.0,15,2020-08-02 00:00:00+00:00,63,21,307604,2020-06-03 00:00:00+00:00,22,308224,2020-06-06 00:00:00+00:00
22,Crystal Dolphin (KyleYouMadeThat Remix),Engelwood,17918694.0,Engelwood,2017-12-06 00:00:00+00:00,23,307380,2020-06-06 00:00:00+00:00,-1.0,19.0,7,2020-05-21 00:00:00+00:00,44,16,395929,2020-05-30 00:00:00+00:00,23,307380,2020-06-06 00:00:00+00:00
23,Kalla Sohna Nai,Neha Kakkar,28796976.0,,,24,296323,2020-06-06 00:00:00+00:00,1.42857142857143,23.0,19,2020-06-07 00:00:00+00:00,64,34,211726,2020-05-30 00:00:00+00:00,24,296323,2020-06-06 00:00:00+00:00
24,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,25,286969,2020-06-06 00:00:00+00:00,-1.0,22.0,1,2020-05-09 00:00:00+00:00,88,18,361930,2020-05-30 00:00:00+00:00,25,286969,2020-06-06 00:00:00+00:00
25,Woah,KRYPTO9095,22809467.0,KSG Records,2019-03-29 00:00:00+00:00,26,282684,2020-06-06 00:00:00+00:00,0.0,29.0,16,2020-05-12 00:00:00+00:00,126,26,266400,2020-05-30 00:00:00+00:00,26,282684,2020-06-06 00:00:00+00:00
26,Kuch Bhi Ho Jaye,B Praak,28987846.0,Desi Melodies,2020-04-09 00:00:00+00:00,27,276701,2020-06-06 00:00:00+00:00,0.714285714285714,21.0,6,2020-05-13 00:00:00+00:00,49,32,225327,2020-05-30 00:00:00+00:00,27,276701,2020-06-06 00:00:00+00:00
27,nursery,bbno$,22461520.0,no records,2019-01-25 00:00:00+00:00,28,274735,2020-06-06 00:00:00+00:00,-1.57142857142857,24.0,11,2020-05-23 00:00:00+00:00,58,17,364588,2020-05-30 00:00:00+00:00,28,274735,2020-06-06 00:00:00+00:00
