,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Rags2Riches (feat. ATR Son Son),Rod Wave,28915328.0,Alamo Records,2020-04-03 00:00:00+00:00,1,1100000,2020-07-25 00:00:00+00:00,0.0,1.0,1,2020-07-21 00:00:00+00:00,49,1,1200000,2020-07-18 00:00:00+00:00,1,1100000,2020-07-25 00:00:00+00:00
1,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,2,1000000,2020-07-25 00:00:00+00:00,0.0,2.0,1,2020-06-02 00:00:00+00:00,110,2,1200000,2020-07-18 00:00:00+00:00,2,1000000,2020-07-25 00:00:00+00:00
2,Subeme la Radio,Enrique Iglesias,15678710.0,RCA Records/Sony Music International/Sony Music Latin,2017-02-24 00:00:00+00:00,3,937900,2020-07-25 00:00:00+00:00,,,3,2020-07-25 00:00:00+00:00,1,3,937900,2020-07-25 00:00:00+00:00,3,937900,2020-07-25 00:00:00+00:00
3,Tap In,Saweetie,29830029.0,ICY/Artistry Records/Warner Records,2020-06-17 00:00:00+00:00,4,863000,2020-07-25 00:00:00+00:00,1.57142857142857,5.0,1,2020-07-30 00:00:00+00:00,22,15,558400,2020-07-18 00:00:00+00:00,4,863000,2020-07-25 00:00:00+00:00
4,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,5,800000,2020-07-25 00:00:00+00:00,0.0,7.0,1,2020-05-18 00:00:00+00:00,91,5,900000,2020-07-18 00:00:00+00:00,5,800000,2020-07-25 00:00:00+00:00
5,Kolors,Monte Booker & Smino,13755632.0,Soulection,2016-06-29 00:00:00+00:00,6,800000,2020-07-25 00:00:00+00:00,-0.428571428571429,4.0,1,2020-07-06 00:00:00+00:00,51,3,1200000,2020-07-18 00:00:00+00:00,6,800000,2020-07-25 00:00:00+00:00
6,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,7,800000,2020-07-25 00:00:00+00:00,-0.428571428571429,3.0,1,2020-07-03 00:00:00+00:00,74,4,1100000,2020-07-18 00:00:00+00:00,7,800000,2020-07-25 00:00:00+00:00
7,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,8,800000,2020-07-25 00:00:00+00:00,0.0,6.0,3,2020-08-05 00:00:00+00:00,103,8,800000,2020-07-18 00:00:00+00:00,8,800000,2020-07-25 00:00:00+00:00
8,How You Like That,BLACKPINK,29924495.0,YG Entertainment/Interscope Records,2020-06-26 00:00:00+00:00,9,700000,2020-07-25 00:00:00+00:00,0.714285714285714,9.0,3,2020-08-02 00:00:00+00:00,31,14,600000,2020-07-18 00:00:00+00:00,9,700000,2020-07-25 00:00:00+00:00
9,The Boat Beat,Ricky Desktop,29602162.0,Affiliate Records,2020-05-12 00:00:00+00:00,10,700000,2020-07-25 00:00:00+00:00,-0.571428571428571,8.0,6,2020-07-21 00:00:00+00:00,53,6,800000,2020-07-18 00:00:00+00:00,10,700000,2020-07-25 00:00:00+00:00
10,Wet (She Got That…) - Slowed,YFN Lucci,28501289.0,"Think It's A Game Entertainment, LLC",2020-02-14 00:00:00+00:00,11,600000,2020-07-25 00:00:00+00:00,0.142857142857143,12.0,4,2020-07-31 00:00:00+00:00,23,12,600000,2020-07-18 00:00:00+00:00,11,600000,2020-07-25 00:00:00+00:00
