,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,1,2200000,2020-06-27 00:00:00+00:00,0.142857142857143,1,1,2020-06-02 00:00:00+00:00,110,2,2400000,2020-06-20 00:00:00+00:00,1,2200000,2020-06-27 00:00:00+00:00
1,Kolors,Monte Booker & Smino,13755632.0,Soulection,2016-06-29 00:00:00+00:00,2,2100000,2020-06-27 00:00:00+00:00,0.285714285714286,2,1,2020-07-06 00:00:00+00:00,51,4,1900000,2020-06-20 00:00:00+00:00,2,2100000,2020-06-27 00:00:00+00:00
2,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,3,1900000,2020-06-27 00:00:00+00:00,-0.285714285714286,2,1,2020-06-10 00:00:00+00:00,75,1,3200000,2020-06-20 00:00:00+00:00,3,1900000,2020-06-27 00:00:00+00:00
3,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,4,1900000,2020-06-27 00:00:00+00:00,0.142857142857143,3,1,2020-07-03 00:00:00+00:00,74,5,1800000,2020-06-20 00:00:00+00:00,4,1900000,2020-06-27 00:00:00+00:00
4,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,5,1700000,2020-06-27 00:00:00+00:00,-0.285714285714286,4,1,2020-05-18 00:00:00+00:00,91,3,2000000,2020-06-20 00:00:00+00:00,5,1700000,2020-06-27 00:00:00+00:00
5,kream bebiisan edition,bebiisan,,,,6,1300000,2020-06-27 00:00:00+00:00,0.0,5,4,2020-06-10 00:00:00+00:00,60,6,1700000,2020-06-20 00:00:00+00:00,6,1300000,2020-06-27 00:00:00+00:00
6,HAHA,lil darkie,26235905.0,Repost Network,2019-10-12 00:00:00+00:00,7,1300000,2020-06-27 00:00:00+00:00,0.142857142857143,6,5,2020-06-28 00:00:00+00:00,50,8,1369600,2020-06-20 00:00:00+00:00,7,1300000,2020-06-27 00:00:00+00:00
7,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,8,1200000,2020-06-27 00:00:00+00:00,-0.142857142857143,7,5,2020-05-25 00:00:00+00:00,73,7,1500000,2020-06-20 00:00:00+00:00,8,1200000,2020-06-27 00:00:00+00:00
8,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,9,800000,2020-06-27 00:00:00+00:00,0.428571428571429,10,8,2020-07-03 00:00:00+00:00,69,12,800000,2020-06-20 00:00:00+00:00,9,800000,2020-06-27 00:00:00+00:00
9,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,10,800000,2020-06-27 00:00:00+00:00,0.142857142857143,8,3,2020-08-05 00:00:00+00:00,103,11,800000,2020-06-20 00:00:00+00:00,10,800000,2020-06-27 00:00:00+00:00
