,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Rags2Riches (feat. ATR Son Son),Rod Wave,28915328.0,Alamo Records,2020-04-03 00:00:00+00:00,1,1200000,2020-07-18 00:00:00+00:00,1.57142857142857,3.0,1,2020-07-21 00:00:00+00:00,49,12,664900,2020-07-11 00:00:00+00:00,1,1200000,2020-07-18 00:00:00+00:00
1,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,2,1200000,2020-07-18 00:00:00+00:00,0.0,1.0,1,2020-06-02 00:00:00+00:00,110,2,1400000,2020-07-11 00:00:00+00:00,2,1200000,2020-07-18 00:00:00+00:00
2,Kolors,Monte Booker & Smino,13755632.0,Soulection,2016-06-29 00:00:00+00:00,3,1200000,2020-07-18 00:00:00+00:00,-0.285714285714286,2.0,1,2020-07-06 00:00:00+00:00,51,1,1600000,2020-07-11 00:00:00+00:00,3,1200000,2020-07-18 00:00:00+00:00
3,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,4,1100000,2020-07-18 00:00:00+00:00,-0.142857142857143,4.0,1,2020-07-03 00:00:00+00:00,74,3,1200000,2020-07-11 00:00:00+00:00,4,1100000,2020-07-18 00:00:00+00:00
4,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,5,900000,2020-07-18 00:00:00+00:00,-0.142857142857143,5.0,1,2020-05-18 00:00:00+00:00,91,4,1100000,2020-07-11 00:00:00+00:00,5,900000,2020-07-18 00:00:00+00:00
5,The Boat Beat,Ricky Desktop,29602162.0,Affiliate Records,2020-05-12 00:00:00+00:00,6,800000,2020-07-18 00:00:00+00:00,0.571428571428571,7.0,6,2020-07-21 00:00:00+00:00,53,10,700000,2020-07-11 00:00:00+00:00,6,800000,2020-07-18 00:00:00+00:00
6,Be Happy,Dixie D’Amelio,29915506.0,DAM FAM Records,2020-06-26 00:00:00+00:00,7,800000,2020-07-18 00:00:00+00:00,-0.285714285714286,6.0,5,2020-07-14 00:00:00+00:00,33,5,969400,2020-07-11 00:00:00+00:00,7,800000,2020-07-18 00:00:00+00:00
7,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,8,800000,2020-07-18 00:00:00+00:00,0.142857142857143,8.0,3,2020-08-05 00:00:00+00:00,103,9,800000,2020-07-11 00:00:00+00:00,8,800000,2020-07-18 00:00:00+00:00
8,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,9,700000,2020-07-18 00:00:00+00:00,-0.142857142857143,11.0,1,2020-06-10 00:00:00+00:00,75,8,800000,2020-07-11 00:00:00+00:00,9,700000,2020-07-18 00:00:00+00:00
9,TKN,ROSALÍA & Travis Scott,29592223.0,Columbia,2020-05-28 00:00:00+00:00,10,607500,2020-07-18 00:00:00+00:00,1.0,13.0,9,2020-08-01 00:00:00+00:00,45,17,522300,2020-07-11 00:00:00+00:00,10,607500,2020-07-18 00:00:00+00:00
10,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,11,600000,2020-07-18 00:00:00+00:00,-0.714285714285714,9.0,5,2020-05-25 00:00:00+00:00,73,6,900000,2020-07-11 00:00:00+00:00,11,600000,2020-07-18 00:00:00+00:00
11,Wet (She Got That…) - Slowed,YFN Lucci,28501289.0,"Think It's A Game Entertainment, LLC",2020-02-14 00:00:00+00:00,12,600000,2020-07-18 00:00:00+00:00,,10.0,4,2020-07-31 00:00:00+00:00,23,11,700000,2020-07-14 00:00:00+00:00,12,600000,2020-07-18 00:00:00+00:00
12,Hood Baby,Kbfr,29275689.0,For Real Ent.,2020-04-03 00:00:00+00:00,13,600000,2020-07-18 00:00:00+00:00,-0.857142857142857,12.0,7,2020-07-06 00:00:00+00:00,46,7,800000,2020-07-11 00:00:00+00:00,13,600000,2020-07-18 00:00:00+00:00
13,How You Like That,BLACKPINK,29924495.0,YG Entertainment/Interscope Records,2020-06-26 00:00:00+00:00,14,600000,2020-07-18 00:00:00+00:00,0.285714285714286,14.0,3,2020-08-02 00:00:00+00:00,31,16,528000,2020-07-11 00:00:00+00:00,14,600000,2020-07-18 00:00:00+00:00
14,Tap In,Saweetie,29830029.0,ICY/Artistry Records/Warner Records,2020-06-17 00:00:00+00:00,15,558400,2020-07-18 00:00:00+00:00,,18.0,1,2020-07-30 00:00:00+00:00,22,21,360200,2020-07-15 00:00:00+00:00,15,558400,2020-07-18 00:00:00+00:00
15,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,16,500000,2020-07-18 00:00:00+00:00,-0.428571428571429,17.0,8,2020-07-03 00:00:00+00:00,69,13,600000,2020-07-11 00:00:00+00:00,16,500000,2020-07-18 00:00:00+00:00
16,HAHA,lil darkie,26235905.0,Repost Network,2019-10-12 00:00:00+00:00,17,500000,2020-07-18 00:00:00+00:00,-0.285714285714286,20.0,5,2020-06-28 00:00:00+00:00,50,15,600000,2020-07-11 00:00:00+00:00,17,500000,2020-07-18 00:00:00+00:00
17,kream bebiisan edition,bebiisan,,,,18,500000,2020-07-18 00:00:00+00:00,-1.0,15.0,4,2020-06-10 00:00:00+00:00,60,11,700000,2020-07-11 00:00:00+00:00,18,500000,2020-07-18 00:00:00+00:00
18,Better,Valentino Khan & Wuki,24686070.0,Mad Decent,2019-07-26 00:00:00+00:00,19,456600,2020-07-18 00:00:00+00:00,0.142857142857143,19.0,10,2020-07-31 00:00:00+00:00,27,20,341400,2020-07-11 00:00:00+00:00,19,456600,2020-07-18 00:00:00+00:00
19,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,20,400000,2020-07-18 00:00:00+00:00,-0.857142857142857,16.0,1,2020-05-11 00:00:00+00:00,125,14,600000,2020-07-11 00:00:00+00:00,20,400000,2020-07-18 00:00:00+00:00
20,Relación,Sech,28884520.0,Rich Music,2020-04-02 00:00:00+00:00,21,400000,2020-07-18 00:00:00+00:00,-0.428571428571429,21.0,12,2020-07-01 00:00:00+00:00,51,18,500000,2020-07-11 00:00:00+00:00,21,400000,2020-07-18 00:00:00+00:00
21,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,29751924.0,Columbia,2020-06-11 00:00:00+00:00,22,400000,2020-07-18 00:00:00+00:00,-0.428571428571429,24.0,15,2020-08-02 00:00:00+00:00,63,19,400000,2020-07-11 00:00:00+00:00,22,400000,2020-07-18 00:00:00+00:00
22,Better When I'm Dancin',Meghan Trainor,15796553.0,Epic,2016-05-26 00:00:00+00:00,23,378100,2020-07-18 00:00:00+00:00,30.5714285714286,22.0,18,2020-07-20 00:00:00+00:00,29,237,20200,2020-07-11 00:00:00+00:00,23,378100,2020-07-18 00:00:00+00:00
23,Woah,KRYPTO9095,22809467.0,KSG Records,2019-03-29 00:00:00+00:00,24,300000,2020-07-18 00:00:00+00:00,2.28571428571429,40.0,16,2020-05-12 00:00:00+00:00,126,40,200000,2020-07-11 00:00:00+00:00,24,300000,2020-07-18 00:00:00+00:00
24,Desce Pro Play (PA PA PA),MC Zaac & Anitta & Tyga,,,,25,278900,2020-07-18 00:00:00+00:00,-0.142857142857143,26.0,23,2020-07-08 00:00:00+00:00,31,24,284300,2020-07-11 00:00:00+00:00,25,278900,2020-07-18 00:00:00+00:00
25,Tattoo - Remix with Camilo,Rauw Alejandro & Camilo,28466568.0,"(SME US Latin) Duars Entertainment, Corp. (2)",2020-02-13 00:00:00+00:00,26,274116,2020-07-18 00:00:00+00:00,,,13,2020-08-02 00:00:00+00:00,19,26,274116,2020-07-18 00:00:00+00:00,26,274116,2020-07-18 00:00:00+00:00
26,Renee,Sales,14305216.0,SALES,2014-09-22 00:00:00+00:00,27,258600,2020-07-18 00:00:00+00:00,-0.285714285714286,27.0,23,2020-07-13 00:00:00+00:00,29,25,280000,2020-07-11 00:00:00+00:00,27,258600,2020-07-18 00:00:00+00:00
27,ЧЁРНЫЙ БУМЕР,DAVA & Серёга,,,,28,244100,2020-07-18 00:00:00+00:00,-0.714285714285714,28.0,20,2020-07-06 00:00:00+00:00,40,23,293000,2020-07-11 00:00:00+00:00,28,244100,2020-07-18 00:00:00+00:00
28,Frikitona,DJ Ofreck,29169736.0,DJ Ofreck,2019-05-17 00:00:00+00:00,29,213800,2020-07-18 00:00:00+00:00,-0.428571428571429,31.0,26,2020-07-11 00:00:00+00:00,51,26,213200,2020-07-11 00:00:00+00:00,29,213800,2020-07-18 00:00:00+00:00
29,Tadow,Masego & FKJ,17078169.0,Masego,2017-10-06 00:00:00+00:00,30,205400,2020-07-18 00:00:00+00:00,,29.0,25,2020-07-16 00:00:00+00:00,20,38,199200,2020-07-15 00:00:00+00:00,30,205400,2020-07-18 00:00:00+00:00
30,La Jeepeta,Nio Garcia & Brray & JuanKa,29185655.0,"2020 Flow La Movie, Inc. & Los Magicos, LLC | Powered by GLAD Empire,",2020-04-24 00:00:00+00:00,31,203700,2020-07-18 00:00:00+00:00,1.71428571428571,32.0,26,2020-08-03 00:00:00+00:00,48,43,170400,2020-07-11 00:00:00+00:00,31,203700,2020-07-18 00:00:00+00:00
31,4K,El Alfa & Darell & Noriel,,,,32,200000,2020-07-18 00:00:00+00:00,-0.142857142857143,39.0,22,2020-07-02 00:00:00+00:00,54,31,200000,2020-07-11 00:00:00+00:00,32,200000,2020-07-18 00:00:00+00:00
32,Play Date,Melanie Martinez,15090401.0,Atlantic Records,2015-08-14 00:00:00+00:00,33,200000,2020-07-18 00:00:00+00:00,-0.428571428571429,33.0,12,2020-06-02 00:00:00+00:00,80,30,200000,2020-07-11 00:00:00+00:00,33,200000,2020-07-18 00:00:00+00:00
33,Cari Mama Muda,Iqballl🍁,,,,34,200000,2020-07-18 00:00:00+00:00,,90.0,1,2020-05-12 00:00:00+00:00,82,58,100000,2020-07-15 00:00:00+00:00,34,200000,2020-07-18 00:00:00+00:00
