,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,1,4859851,2020-06-13 00:00:00+00:00,0.0,1.0,1,2020-06-10 00:00:00+00:00,75,1,3411589,2020-06-06 00:00:00+00:00,1,4859851,2020-06-13 00:00:00+00:00
1,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,2,3052740,2020-06-13 00:00:00+00:00,0.0,2.0,1,2020-06-02 00:00:00+00:00,110,2,3090907,2020-06-06 00:00:00+00:00,2,3052740,2020-06-13 00:00:00+00:00
2,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,3,2261826,2020-06-13 00:00:00+00:00,0.0,3.0,1,2020-05-18 00:00:00+00:00,91,3,2857443,2020-06-06 00:00:00+00:00,3,2261826,2020-06-13 00:00:00+00:00
3,Soap,Melanie_Martinez,15090187.0,Atlantic Records,2015-08-14 00:00:00+00:00,4,2127419,2020-06-13 00:00:00+00:00,,29.0,4,2020-06-13 00:00:00+00:00,21,4,2127419,2020-06-13 00:00:00+00:00,4,2127419,2020-06-13 00:00:00+00:00
4,kream bebiisan edition,bebiisan,,,,5,1996824,2020-06-13 00:00:00+00:00,-0.142857142857143,4.0,4,2020-06-10 00:00:00+00:00,60,4,2550440,2020-06-06 00:00:00+00:00,5,1996824,2020-06-13 00:00:00+00:00
5,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,6,1351728,2020-06-13 00:00:00+00:00,-0.142857142857143,5.0,1,2020-07-03 00:00:00+00:00,74,5,1340326,2020-06-06 00:00:00+00:00,6,1351728,2020-06-13 00:00:00+00:00
6,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,7,1239397,2020-06-13 00:00:00+00:00,0.0,6.0,5,2020-05-25 00:00:00+00:00,73,7,1322241,2020-06-06 00:00:00+00:00,7,1239397,2020-06-13 00:00:00+00:00
7,Kolors,Monte Booker & Smino,13755632.0,Soulection,2016-06-29 00:00:00+00:00,8,1071598,2020-06-13 00:00:00+00:00,,8.0,1,2020-07-06 00:00:00+00:00,51,8,975131,2020-06-12 00:00:00+00:00,8,1071598,2020-06-13 00:00:00+00:00
8,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,9,940784,2020-06-13 00:00:00+00:00,0.0,10.0,1,2020-05-11 00:00:00+00:00,125,9,1159277,2020-06-06 00:00:00+00:00,9,940784,2020-06-13 00:00:00+00:00
9,Cari Mama Muda,Iqballl🍁,,,,10,938501,2020-06-13 00:00:00+00:00,-0.285714285714286,7.0,1,2020-05-12 00:00:00+00:00,82,8,1242969,2020-06-06 00:00:00+00:00,10,938501,2020-06-13 00:00:00+00:00
10,Say youll remember me Remix by TIAGZ,iamtiagz,,,,11,864495,2020-06-13 00:00:00+00:00,-0.714285714285714,9.0,5,2020-06-08 00:00:00+00:00,52,6,1326504,2020-06-06 00:00:00+00:00,11,864495,2020-06-13 00:00:00+00:00
11,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,12,848130,2020-06-13 00:00:00+00:00,-0.285714285714286,11.0,3,2020-08-05 00:00:00+00:00,103,10,852706,2020-06-06 00:00:00+00:00,12,848130,2020-06-13 00:00:00+00:00
12,The Boat Beat,Ricky Desktop,29602162.0,Affiliate Records,2020-05-12 00:00:00+00:00,13,656713,2020-06-13 00:00:00+00:00,,,6,2020-07-21 00:00:00+00:00,53,13,656713,2020-06-13 00:00:00+00:00,13,656713,2020-06-13 00:00:00+00:00
13,Spaz,Mr. 2-17 & DRIPPY PRODUCTIONS,,,,14,609251,2020-06-13 00:00:00+00:00,,,14,2020-06-13 00:00:00+00:00,41,14,609251,2020-06-13 00:00:00+00:00,14,609251,2020-06-13 00:00:00+00:00
14,Nyquest_ Trend Mix,nyquest_,,,,15,526981,2020-06-13 00:00:00+00:00,,12.0,11,2020-06-11 00:00:00+00:00,41,11,605177,2020-06-11 00:00:00+00:00,15,526981,2020-06-13 00:00:00+00:00
15,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,16,443759,2020-06-13 00:00:00+00:00,-0.571428571428571,15.0,8,2020-07-03 00:00:00+00:00,69,12,628282,2020-06-06 00:00:00+00:00,16,443759,2020-06-13 00:00:00+00:00
