,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,1,1911658,2020-05-09 00:00:00+00:00,0.142857142857143,1,1,2020-05-09 00:00:00+00:00,88,2,876269,2020-05-02 00:00:00+00:00,1,1911658,2020-05-09 00:00:00+00:00
1,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,2,1887381,2020-05-09 00:00:00+00:00,-0.142857142857143,2,1,2020-05-11 00:00:00+00:00,125,1,1428140,2020-05-02 00:00:00+00:00,2,1887381,2020-05-09 00:00:00+00:00
2,Let's Do It Again,J Boog,15953367.0,Washhouse Hawaii,2011-09-27 00:00:00+00:00,3,733371,2020-05-09 00:00:00+00:00,0.0,3,3,2020-05-10 00:00:00+00:00,74,3,667071,2020-05-02 00:00:00+00:00,3,733371,2020-05-09 00:00:00+00:00
3,Followww meee,rapidsongs,,,,4,722530,2020-05-09 00:00:00+00:00,,4,3,2020-05-11 00:00:00+00:00,20,6,600276,2020-05-06 00:00:00+00:00,4,722530,2020-05-09 00:00:00+00:00
4,Goa Beach,Tony Kakkar,28457120.0,Desi Music Factory,2020-02-11 00:00:00+00:00,5,678748,2020-05-09 00:00:00+00:00,6.57142857142857,5,5,2020-05-09 00:00:00+00:00,80,51,143757,2020-05-02 00:00:00+00:00,5,678748,2020-05-09 00:00:00+00:00
5,Bagaikan Langit（cover）,_ucil👑,,,,6,653121,2020-05-09 00:00:00+00:00,-0.285714285714286,6,1,2020-02-12 00:00:00+00:00,118,4,528711,2020-05-02 00:00:00+00:00,6,653121,2020-05-09 00:00:00+00:00
6,Personal,HRVY,17799080.0,"UMG Recordings, Inc.",2018-01-19 00:00:00+00:00,7,583733,2020-05-09 00:00:00+00:00,0.857142857142857,8,7,2020-05-11 00:00:00+00:00,94,13,337154,2020-05-02 00:00:00+00:00,7,583733,2020-05-09 00:00:00+00:00
7,Lose Control,Meduza & Becky Hill & Goodboys,25866511.0,Virgin,2019-10-11 00:00:00+00:00,8,582163,2020-05-09 00:00:00+00:00,0.428571428571429,7,5,2020-04-16 00:00:00+00:00,133,11,353884,2020-05-02 00:00:00+00:00,8,582163,2020-05-09 00:00:00+00:00
8,I'm Just a Kid,Simple Plan,15073090.0,Rhino Atlantic,2018-04-06 00:00:00+00:00,9,553661,2020-05-09 00:00:00+00:00,-0.142857142857143,9,7,2020-04-29 00:00:00+00:00,135,8,419982,2020-05-02 00:00:00+00:00,9,553661,2020-05-09 00:00:00+00:00
9,Toosie Slide,Drake,28904803.0,OVO,2020-04-03 00:00:00+00:00,10,546474,2020-05-09 00:00:00+00:00,-0.714285714285714,10,4,2020-05-05 00:00:00+00:00,106,5,501313,2020-05-02 00:00:00+00:00,10,546474,2020-05-09 00:00:00+00:00
