,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,1,1428140,2020-05-02 00:00:00+00:00,0.142857142857143,1,1,2020-05-11 00:00:00+00:00,125,2,2062314,2020-04-25 00:00:00+00:00,1,1428140,2020-05-02 00:00:00+00:00
1,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,2,876269,2020-05-02 00:00:00+00:00,,2,1,2020-05-09 00:00:00+00:00,88,4,1170310,2020-04-28 00:00:00+00:00,2,876269,2020-05-02 00:00:00+00:00
2,Let's Do It Again,J Boog,15953367.0,Washhouse Hawaii,2011-09-27 00:00:00+00:00,3,667071,2020-05-02 00:00:00+00:00,,3,3,2020-05-10 00:00:00+00:00,74,5,725338,2020-04-29 00:00:00+00:00,3,667071,2020-05-02 00:00:00+00:00
3,Bagaikan Langit（cover）,_ucil👑,,,,4,528711,2020-05-02 00:00:00+00:00,0.0,4,1,2020-02-12 00:00:00+00:00,118,4,804732,2020-04-25 00:00:00+00:00,4,528711,2020-05-02 00:00:00+00:00
4,Toosie Slide,Drake,28904803.0,OVO,2020-04-03 00:00:00+00:00,5,501313,2020-05-02 00:00:00+00:00,0.0,5,4,2020-05-05 00:00:00+00:00,106,5,785850,2020-04-25 00:00:00+00:00,5,501313,2020-05-02 00:00:00+00:00
5,Captain Hook,Megan Thee Stallion,28677613.0,300 Entertainment,2020-03-06 00:00:00+00:00,6,443080,2020-05-02 00:00:00+00:00,0.0,6,5,2020-04-21 00:00:00+00:00,53,6,707717,2020-04-25 00:00:00+00:00,6,443080,2020-05-02 00:00:00+00:00
6,Do It Again,Pia Mia,15934429.0,Wolfpack/Interscope,2015-05-04 00:00:00+00:00,7,436783,2020-05-02 00:00:00+00:00,-0.857142857142857,7,1,2020-04-25 00:00:00+00:00,60,1,3483839,2020-04-25 00:00:00+00:00,7,436783,2020-05-02 00:00:00+00:00
7,I'm Just a Kid,Simple Plan,15073090.0,Rhino Atlantic,2018-04-06 00:00:00+00:00,8,419982,2020-05-02 00:00:00+00:00,0.0,8,7,2020-04-29 00:00:00+00:00,135,8,604505,2020-04-25 00:00:00+00:00,8,419982,2020-05-02 00:00:00+00:00
8,Cannibal X Whats My Name X Savage,rapidsongs,,,,9,390836,2020-05-02 00:00:00+00:00,-0.285714285714286,9,3,2020-04-21 00:00:00+00:00,66,7,672942,2020-04-25 00:00:00+00:00,9,390836,2020-05-02 00:00:00+00:00
9,Savage Tiger King Edition,calebjaxin,,,,10,366259,2020-05-02 00:00:00+00:00,-0.142857142857143,10,3,2020-04-16 00:00:00+00:00,67,9,590110,2020-04-25 00:00:00+00:00,10,366259,2020-05-02 00:00:00+00:00
